common_name,scientific_name,start_time,end_time,confidence,label,filename
Great Tit,Parus major,9.0,12.0,0.26744145154953003,Parus major_Great Tit,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,15.0,18.0,0.30258211493492126,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,33.0,36.0,0.3138274848461151,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,51.0,54.0,0.6448888778686523,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,63.0,66.0,0.3409191966056824,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,69.0,72.0,0.3572562336921692,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,75.0,78.0,0.29710739850997925,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,87.0,90.0,0.37520647048950195,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Northern Goshawk,Accipiter gentilis,99.0,102.0,0.6954544186592102,Accipiter gentilis_Northern Goshawk,XC2_20200530_171400.wav
Great Tit,Parus major,108.0,111.0,0.34868502616882324,Parus major_Great Tit,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,111.0,114.0,0.2838451564311981,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,117.0,120.0,0.3283081352710724,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,120.0,123.0,0.5513346195220947,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Northern Goshawk,Accipiter gentilis,123.0,126.0,0.3644478917121887,Accipiter gentilis_Northern Goshawk,XC2_20200530_171400.wav
Northern Goshawk,Accipiter gentilis,126.0,129.0,0.3283483386039734,Accipiter gentilis_Northern Goshawk,XC2_20200530_171400.wav
Northern Goshawk,Accipiter gentilis,129.0,132.0,0.3334697186946869,Accipiter gentilis_Northern Goshawk,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,129.0,132.0,0.3236663341522217,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Northern Goshawk,Accipiter gentilis,135.0,138.0,0.3458355665206909,Accipiter gentilis_Northern Goshawk,XC2_20200530_171400.wav
Northern Goshawk,Accipiter gentilis,150.0,153.0,0.2776372730731964,Accipiter gentilis_Northern Goshawk,XC2_20200530_171400.wav
