common_name,scientific_name,start_time,end_time,confidence,label,filename
European Robin,Erithacus rubecula,51.0,54.0,0.6448888778686523,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,120.0,123.0,0.5513346195220947,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,162.0,165.0,0.5507035255432129,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,195.0,198.0,0.42587050795555115,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,201.0,204.0,0.7232269048690796,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,210.0,213.0,0.6667107939720154,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,222.0,225.0,0.43641242384910583,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Wood Warbler,Phylloscopus sibilatrix,228.0,231.0,0.45035314559936523,Phylloscopus sibilatrix_Wood Warbler,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,231.0,234.0,0.42893561720848083,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Eurasian Blackbird,Turdus merula,234.0,237.0,0.46599557995796204,Turdus merula_Eurasian Blackbird,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,285.0,288.0,0.43993115425109863,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,330.0,333.0,0.5486810803413391,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,357.0,360.0,0.5509500503540039,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Eurasian Blackbird,Turdus merula,420.0,423.0,0.46479323506355286,Turdus merula_Eurasian Blackbird,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,642.0,645.0,0.5273402333259583,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,906.0,909.0,0.4694215953350067,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,909.0,912.0,0.550109326839447,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1023.0,1026.0,0.6086945533752441,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
Song Thrush,Turdus philomelos,1104.0,1107.0,0.516190230846405,Turdus philomelos_Song Thrush,XC2_20200530_171400.wav
Song Thrush,Turdus philomelos,1203.0,1206.0,0.6246702671051025,Turdus philomelos_Song Thrush,XC2_20200530_171400.wav
Song Thrush,Turdus philomelos,1227.0,1230.0,0.4246676564216614,Turdus philomelos_Song Thrush,XC2_20200530_171400.wav
Song Thrush,Turdus philomelos,1230.0,1233.0,0.4138242304325104,Turdus philomelos_Song Thrush,XC2_20200530_171400.wav
Song Thrush,Turdus philomelos,1257.0,1260.0,0.5423279404640198,Turdus philomelos_Song Thrush,XC2_20200530_171400.wav
Song Thrush,Turdus philomelos,1296.0,1299.0,0.41798192262649536,Turdus philomelos_Song Thrush,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1428.0,1431.0,0.743174135684967,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1473.0,1476.0,0.7120115756988525,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1497.0,1500.0,0.4219139516353607,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1503.0,1506.0,0.5085501670837402,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1506.0,1509.0,0.6209853291511536,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1515.0,1518.0,0.8739471435546875,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1518.0,1521.0,0.5746216773986816,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1521.0,1524.0,0.8671053647994995,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1530.0,1533.0,0.40330398082733154,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1569.0,1572.0,0.5123811364173889,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1656.0,1659.0,0.4008116126060486,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1665.0,1668.0,0.4666222929954529,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1731.0,1734.0,0.5184558033943176,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1779.0,1782.0,0.4213724136352539,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1803.0,1806.0,0.40617042779922485,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1827.0,1830.0,0.5058296322822571,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1839.0,1842.0,0.44323045015335083,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
European Robin,Erithacus rubecula,1905.0,1908.0,0.6622455716133118,Erithacus rubecula_European Robin,XC2_20200530_171400.wav
