common_name,scientific_name,start_time,end_time,confidence,label,filename
Barn Owl,Tyto alba,21.0,24.0,0.2593682110309601,Tyto alba_Barn Owl,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,42.0,45.0,0.6129375696182251,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,48.0,51.0,0.5092365741729736,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,51.0,54.0,0.7270328402519226,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,96.0,99.0,0.26213034987449646,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,99.0,102.0,0.879304051399231,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,102.0,105.0,0.905627965927124,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,105.0,108.0,0.9095755815505981,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,108.0,111.0,0.6963536143302917,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,111.0,114.0,0.8142071962356567,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,114.0,117.0,0.6632886528968811,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Gadwall,Mareca strepera,114.0,117.0,0.29488202929496765,Mareca strepera_Gadwall,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,117.0,120.0,0.7934355139732361,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Eurasian Moorhen,Gallinula chloropus,126.0,129.0,0.7803735136985779,Gallinula chloropus_Eurasian Moorhen,ED3_20240502_040000.wav
Common Raven,Corvus corax,126.0,129.0,0.49328771233558655,Corvus corax_Common Raven,ED3_20240502_040000.wav
Tree Pipit,Anthus trivialis,192.0,195.0,0.3570096790790558,Anthus trivialis_Tree Pipit,ED3_20240502_040000.wav
Gadwall,Mareca strepera,228.0,231.0,0.28172415494918823,Mareca strepera_Gadwall,ED3_20240502_040000.wav
Eurasian Wigeon,Mareca penelope,342.0,345.0,0.4476071000099182,Mareca penelope_Eurasian Wigeon,ED3_20240502_040000.wav
Eurasian Moorhen,Gallinula chloropus,426.0,429.0,0.3127405345439911,Gallinula chloropus_Eurasian Moorhen,ED3_20240502_040000.wav
European Robin,Erithacus rubecula,444.0,447.0,0.5993474721908569,Erithacus rubecula_European Robin,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,552.0,555.0,0.5158504843711853,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Ring-necked Pheasant,Phasianus colchicus,561.0,564.0,0.6291849613189697,Phasianus colchicus_Ring-necked Pheasant,ED3_20240502_040000.wav
Gadwall,Mareca strepera,594.0,597.0,0.614393413066864,Mareca strepera_Gadwall,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,957.0,960.0,0.8047398924827576,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,963.0,966.0,0.32236602902412415,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,984.0,987.0,0.9385519027709961,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,987.0,990.0,0.5777646899223328,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,993.0,996.0,0.9139857888221741,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,996.0,999.0,0.29506364464759827,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,999.0,1002.0,0.7290554046630859,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1002.0,1005.0,0.9199935793876648,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1005.0,1008.0,0.62440425157547,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1011.0,1014.0,0.5892956256866455,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1017.0,1020.0,0.9014702439308167,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1020.0,1023.0,0.5421620607376099,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Gadwall,Mareca strepera,1020.0,1023.0,0.37313586473464966,Mareca strepera_Gadwall,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1023.0,1026.0,0.8779321312904358,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1029.0,1032.0,0.47869011759757996,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1032.0,1035.0,0.9274007678031921,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1038.0,1041.0,0.8469141125679016,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1041.0,1044.0,0.8335045576095581,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1044.0,1047.0,0.8260859847068787,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1047.0,1050.0,0.8485857844352722,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1059.0,1062.0,0.9220870733261108,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1062.0,1065.0,0.8707072734832764,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1065.0,1068.0,0.9179725050926208,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1068.0,1071.0,0.9469602704048157,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1113.0,1116.0,0.8680633306503296,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1116.0,1119.0,0.5083944797515869,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1119.0,1122.0,0.6057888269424438,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Gadwall,Mareca strepera,1119.0,1122.0,0.30365699529647827,Mareca strepera_Gadwall,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1179.0,1182.0,0.7161658406257629,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1197.0,1200.0,0.47313934564590454,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1200.0,1203.0,0.8621570467948914,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1230.0,1233.0,0.7976745367050171,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1233.0,1236.0,0.35935178399086,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1245.0,1248.0,0.8780414462089539,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1248.0,1251.0,0.748589038848877,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1272.0,1275.0,0.5416207313537598,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1275.0,1278.0,0.6010170578956604,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1281.0,1284.0,0.6334210634231567,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1284.0,1287.0,0.7121814489364624,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1287.0,1290.0,0.6608439683914185,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1314.0,1317.0,0.3789021074771881,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Ring-necked Pheasant,Phasianus colchicus,1467.0,1470.0,0.5809505581855774,Phasianus colchicus_Ring-necked Pheasant,ED3_20240502_040000.wav
Ring-necked Pheasant,Phasianus colchicus,1470.0,1473.0,0.9330974817276001,Phasianus colchicus_Ring-necked Pheasant,ED3_20240502_040000.wav
Eurasian Moorhen,Gallinula chloropus,1590.0,1593.0,0.5880027413368225,Gallinula chloropus_Eurasian Moorhen,ED3_20240502_040000.wav
Eurasian Moorhen,Gallinula chloropus,1608.0,1611.0,0.4454030990600586,Gallinula chloropus_Eurasian Moorhen,ED3_20240502_040000.wav
Green-winged Teal,Anas crecca,1632.0,1635.0,0.31752339005470276,Anas crecca_Green-winged Teal,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1749.0,1752.0,0.7424634695053101,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1776.0,1779.0,0.9019699096679688,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Mallard,Anas platyrhynchos,1797.0,1800.0,0.6930168867111206,Anas platyrhynchos_Mallard,ED3_20240502_040000.wav
Eurasian Blackbird,Turdus merula,0.0,3.0,0.9678473472595215,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,6.0,9.0,0.8997584581375122,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,9.0,12.0,0.6688390970230103,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,12.0,15.0,0.716547429561615,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,15.0,18.0,0.9813243746757507,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,18.0,21.0,0.9701957106590271,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,21.0,24.0,0.9577418565750122,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,24.0,27.0,0.9858799576759338,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,30.0,33.0,0.9385655522346497,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,36.0,39.0,0.9692110419273376,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,39.0,42.0,0.8441764116287231,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,42.0,45.0,0.9748202562332153,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,45.0,48.0,0.998422384262085,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,51.0,54.0,0.9932816028594971,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,54.0,57.0,0.9706405997276306,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,57.0,60.0,0.6247650384902954,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,60.0,63.0,0.9959327578544617,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,63.0,66.0,0.9408208727836609,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,66.0,69.0,0.565049946308136,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,69.0,72.0,0.9678437113761902,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,72.0,75.0,0.9858930706977844,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,75.0,78.0,0.5741076469421387,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,78.0,81.0,0.9755849242210388,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,81.0,84.0,0.868501603603363,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,84.0,87.0,0.5969097018241882,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
Eurasian Blackbird,Turdus merula,87.0,90.0,0.9647443890571594,Turdus merula_Eurasian Blackbird,ED3_20240502_050000.wav
