scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Aegithalos caudatus (Linnaeus, 1758)",52.652679,-2.46993,2024-01-04T13:10Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Alcedo atthis (Linnaeus, 1758)",52.77729,-2.368522,2024-01-11T12:30Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Buteo buteo (Linnaeus, 1758)",52.778362,-2.368445,2024-01-11T20:53:20Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Cygnus olor (J.F.Gmelin, 1789)",52.778589,-2.266161,2024-01-14T14:22:54Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Carduelis carduelis (Linnaeus, 1758)",52.676689,-2.421473,2024-01-18T15:34:28Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Turdus merula Linnaeus, 1758",52.67663,-2.42132,2024-01-18T15:25:36Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Certhia familiaris Linnaeus, 1758",52.783935,-2.332068,2024-01-20T10:45:01Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Buteo buteo (Linnaeus, 1758)",52.781223,-2.328094,2024-01-20T10:58:08Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Passer domesticus (Linnaeus, 1758)",52.671734,-2.459245,2024-01-27T10:24:31Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Pica pica (Linnaeus, 1758)",52.671257,-2.46014,2024-01-29T10:30:53Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Mergus merganser Linnaeus, 1758",52.774147,-2.374436,2024-02-01T00:30:34Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Alcedo atthis (Linnaeus, 1758)",52.775595,-2.371557,2024-02-01T01:30:45Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Aegithalos caudatus (Linnaeus, 1758)",52.776686,-2.369355,2024-02-01T00:33:50Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Streptopelia decaocto (Frivaldszky, 1838)",52.672752,-2.456642,2024-02-02T12:14:33Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Prunella modularis (Linnaeus, 1758)",52.67664,-2.421232,2024-02-05T13:12:31Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Columba palumbus Linnaeus, 1758",52.673519,-2.460699,2024-02-07T10:57:30Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Turdus philomelos C.L.Brehm, 1831",52.804236,-2.299889,2024-02-11T11:03:52Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
