common_name,scientific_name,start_time,end_time,confidence,label,filename
Common Raven,Corvus corax,24.0,27.0,0.37880775332450867,Corvus corax_Common Raven,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,114.0,117.0,0.8008573651313782,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,156.0,159.0,0.6478493809700012,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,186.0,189.0,0.3346283435821533,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,189.0,192.0,0.741704523563385,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,201.0,204.0,0.8141193985939026,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,213.0,216.0,0.7281504273414612,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,219.0,222.0,0.3681551516056061,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,237.0,240.0,0.33778640627861023,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,255.0,258.0,0.5419735908508301,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,264.0,267.0,0.33479273319244385,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,279.0,282.0,0.8297330737113953,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,297.0,300.0,0.5775982737541199,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,303.0,306.0,0.6235076189041138,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,306.0,309.0,0.6652140021324158,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,309.0,312.0,0.7104498744010925,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,312.0,315.0,0.5494327545166016,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,315.0,318.0,0.5458356142044067,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,321.0,324.0,0.6304892897605896,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,333.0,336.0,0.43877485394477844,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,348.0,351.0,0.8196591138839722,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,357.0,360.0,0.7108741998672485,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,366.0,369.0,0.6914226412773132,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,387.0,390.0,0.874412477016449,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,396.0,399.0,0.826223611831665,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,402.0,405.0,0.7856624126434326,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,411.0,414.0,0.6000175476074219,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,429.0,432.0,0.7562739849090576,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,441.0,444.0,0.765812337398529,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,453.0,456.0,0.6659668684005737,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,468.0,471.0,0.48701560497283936,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,477.0,480.0,0.7279171943664551,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,489.0,492.0,0.8614034652709961,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,498.0,501.0,0.8293107748031616,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,501.0,504.0,0.7675932049751282,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,507.0,510.0,0.4972003996372223,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,516.0,519.0,0.6542152762413025,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,522.0,525.0,0.7079967260360718,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,525.0,528.0,0.5109981298446655,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,546.0,549.0,0.5554213523864746,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,555.0,558.0,0.6179688572883606,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,561.0,564.0,0.7647743821144104,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,564.0,567.0,0.2954115569591522,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,570.0,573.0,0.36690929532051086,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,573.0,576.0,0.615641713142395,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Green-winged Teal,Anas crecca,588.0,591.0,0.9479736089706421,Anas crecca_Green-winged Teal,ED2_20240502_040000.wav
Barn Owl,Tyto alba,600.0,603.0,0.26615068316459656,Tyto alba_Barn Owl,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,618.0,621.0,0.8043112754821777,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,627.0,630.0,0.348919540643692,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Mistle Thrush,Turdus viscivorus,627.0,630.0,0.31799155473709106,Turdus viscivorus_Mistle Thrush,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,633.0,636.0,0.8115262985229492,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,657.0,660.0,0.2830498516559601,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
Eurasian Blackbird,Turdus merula,672.0,675.0,0.36556944251060486,Turdus merula_Eurasian Blackbird,ED2_20240502_040000.wav
