common_name,scientific_name,start_time,end_time,confidence,label,filename
Mallard,Anas platyrhynchos,228.0,231.0,0.6346520185470581,Anas platyrhynchos_Mallard,ED1_20240502_040000.wav
Little Ringed Plover,Charadrius dubius,573.0,576.0,0.49052372574806213,Charadrius dubius_Little Ringed Plover,ED1_20240502_040000.wav
Common Tern,Sterna hirundo,609.0,612.0,0.5637319087982178,Sterna hirundo_Common Tern,ED1_20240502_040000.wav
European Golden-Plover,Pluvialis apricaria,636.0,639.0,0.3482515513896942,Pluvialis apricaria_European Golden-Plover,ED1_20240502_040000.wav
Little Ringed Plover,Charadrius dubius,720.0,723.0,0.3537807762622833,Charadrius dubius_Little Ringed Plover,ED1_20240502_040000.wav
Eurasian Curlew,Numenius arquata,834.0,837.0,0.3320660889148712,Numenius arquata_Eurasian Curlew,ED1_20240502_040000.wav
Common Scoter,Melanitta nigra,930.0,933.0,0.40116167068481445,Melanitta nigra_Common Scoter,ED1_20240502_040000.wav
Sandwich Tern,Thalasseus sandvicensis,1002.0,1005.0,0.2775258421897888,Thalasseus sandvicensis_Sandwich Tern,ED1_20240502_040000.wav
Dunlin,Calidris alpina,1068.0,1071.0,0.674760103225708,Calidris alpina_Dunlin,ED1_20240502_040000.wav
Green Sandpiper,Tringa ochropus,1170.0,1173.0,0.2954746186733246,Tringa ochropus_Green Sandpiper,ED1_20240502_040000.wav
Green Sandpiper,Tringa ochropus,1191.0,1194.0,0.702673077583313,Tringa ochropus_Green Sandpiper,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1368.0,1371.0,0.2535361051559448,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1386.0,1389.0,0.3132150173187256,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1431.0,1434.0,0.3134716749191284,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1434.0,1437.0,0.26713454723358154,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1437.0,1440.0,0.5396820902824402,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1440.0,1443.0,0.261857271194458,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1443.0,1446.0,0.31129488348960876,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Curlew,Numenius arquata,1443.0,1446.0,0.3028244078159332,Numenius arquata_Eurasian Curlew,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1479.0,1482.0,0.28630325198173523,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1497.0,1500.0,0.6597918272018433,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
Eurasian Skylark,Alauda arvensis,1512.0,1515.0,0.5286028981208801,Alauda arvensis_Eurasian Skylark,ED1_20240502_040000.wav
